date,run_id,item_id,vertical,source_id,stage,outcome,code,source_words,summary_words,source_words_before_cap,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens
2026-09-01,2026-09-01-33484160918,ai-1721593902,ai,techcrunch-ai,publish,ok,,373,61,373,167,41,89041,36653,52296,1433,192,0
2026-09-01,2026-09-01-33484160918,ai-8629308223,ai,guardian-ai,publish,ok,,3545,135,3545,1117,55,236511,151773,84632,5512,282,0
2026-09-01,2026-09-01-33484160918,ai-8407562822,ai,zdnet-ai,publish,ok,,611,58,611,1062,117,91482,25007,66465,1856,240,922
2026-09-01,2026-09-01-33484160918,energy-5026017112,energy,solar-quarter,publish,ok,,223,67,223,366,79,80597,10511,69937,1306,251,922
2026-09-01,2026-09-01-33484160918,energy-1260577985,energy,oilprice,publish,ok,,359,77,359,986,44,81210,14401,66801,1452,246,922
2026-09-01,2026-09-01-33484160918,energy-8402504052,energy,balkangreen,publish,ok,,626,62,626,3286,37,86737,25548,61176,1873,220,940
2026-09-01,2026-09-01-33484160918,energy-7832773781,energy,cleantechnica,publish,ok,,1033,109,1033,655,25,141494,56948,84451,2272,308,0
2026-09-01,2026-09-01-33484160918,business-economy-0091278337,business-economy,cna-business,publish,ok,,429,54,429,597,86,67236,16556,50523,1495,181,921
2026-09-01,2026-09-01-33484160918,business-economy-4364114718,business-economy,nber-new,publish,ok,,178,56,178,880,25,53822,8581,45044,1222,164,922
2026-09-01,2026-09-01-33484160918,business-economy-7527327438,business-economy,aljazeera-economy,publish,ok,,1288,116,1288,1640,33,116010,41780,74123,2533,270,923
2026-09-01,2026-09-01-33484160918,business-economy-5516495515,business-economy,bbc-business,extract,failed,no_text,,,,,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-1209396531,business-economy,yahoo-finance,publish,ok,,392,71,392,797,116,87369,16917,70329,1528,252,922
2026-09-01,2026-09-01-33484160918,world-2602070085,world,independent-world,publish,ok,,463,74,463,456,40,78342,17839,60493,1562,216,922
2026-09-01,2026-09-01-33484160918,world-6986245711,world,scmp-news,extract,failed,paywalled,,,,,,,,,,,
2026-09-01,2026-09-01-33484160918,world-4016193351,world,news18-world,fetch,failed,http_client_error,,,,,,,,,,,
2026-09-01,2026-09-01-33484160918,world-2640766787,world,apnews-world,publish,ok,,994,120,994,192,222,116082,35440,80480,2288,292,923
2026-09-01,2026-09-01-33484160918,world-1411518999,world,africanews,publish,ok,,297,61,297,1342,31,80362,11984,68369,1370,245,922
2026-09-01,2026-09-01-33484160918,world-4035710126,world,euronews,publish,ok,,521,70,521,984,60,80166,21458,58697,1684,211,922
2026-09-01,2026-09-01-33484160918,world-5659090547,world,mongabay,publish,ok,,496,79,496,385,26,78393,21125,57116,1664,207,922
2026-09-01,2026-09-01-33484160918,world-2713762019,world,lemonde-en,publish,ok,too_short,35,43,35,1459,5,58739,26545,32185,1025,120,0
2026-09-01,2026-09-01-33484160918,world-8229979727,world,elpais-en,publish,ok,,2173,174,2173,1479,69,212925,99719,113072,3651,391,0
