version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,span_integrity,elements_found,element_class,model_calls,label_kind,label_prefill_ms,label_decode_ms,label_input_tokens,label_output_tokens,label_cached_tokens,summary_kind,summary_prefill_ms,summary_decode_ms,summary_input_tokens,summary_output_tokens,summary_cached_tokens,truncation_cap_tokens,selection_score,authority_score,tier_score,feed_weight,feed_reliability,lens_bonus,recency_bonus,carriage_step,watchlist_bonus,carried_by,watchlist_hit,on_front_page,tier,source_form,published_at,time_source,item_started_at,item_ended_at,item_index,shard_item_count,queue_wait_ms,fetch_connect_ms,fetch_ttfb_ms,robots_ms,retry_count,retry_total_ms,label_ms,summary_ms,visual_plan_ms,visual_plan_ms_is_estimate,faithfulness_ms,model_wait_ms,item_total_ms,stage_gap_ms,visual_plan_tokens_written,label_cache_pct,summary_cache_pct,slot_id,kv_tokens_at_start,prefix_shared_with_previous,label_prefill_tokens_per_s,label_decode_tokens_per_s,summary_prefill_tokens_per_s,summary_decode_tokens_per_s,label_finish_reason,summary_finish_reason,recovered,cpu_model,runner_name,cpu_busy_pct,cpu_busy_max,cpu_busy_min,load_1m,llama_rss_bytes,llama_rss_peak_bytes,python_rss_bytes,cgroup_peak_bytes,model_id,model_quantisation,n_ctx_configured,n_parallel,n_threads,n_batch,max_output_tokens,label_budget_tokens,summary_budget_tokens,run_visual_decision,temperature,failed_field,failed_rule
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,ai-wmng096cbg3ehcvn,e52b0024cc5c06e8b375973d3ccf4f7373d2b3f23d79409521a300ede19c6f34,https://blogs.nvidia.com/blog/local-ai-perplexity-windows-pcs,ai,nvidia-newsroom,publish,ok,,,3775,594,63,,268,34,578764,338445,240181,7425,1166,4126,594,3,True,7,chartable,2,label,332227,180023,3248,879,0,summarize_and_plan,6218,60158,4177,287,4126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,ai-k3fg7jggpn7sgwgs,98df03ca10b54f98721919be730b3c30641e80ff28513561b7642d58e9c26144,https://techcrunch.com/2026/09/14/jensen-huang-took-a-call-from-trump-and-showed-off-something-else-too,ai,techcrunch-ai,publish,ok,,,1396,241,75,,491,36,408803,263504,145041,5630,737,3054,241,3,True,1,unclassified,2,label,257054,105091,2520,535,0,summarize_and_plan,6450,39950,3110,202,3054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,ai-04vxqa3p5hgkgbsx,0137dba8762c61382f3d663bf374bfff2377dfdb5718e6e57d34884e00505972,https://arstechnica.com/tech-policy/2026/09/musk-drops-apple-from-antitrust-suit-but-keeps-gunning-for-openai,ai,ars-technica-ai,publish,ok,,,1847,299,105,,1360,38,275118,76263,198813,6174,993,5445,299,3,True,4,unclassified,2,label,69735,151058,2681,757,2008,summarize_and_plan,6528,47755,3493,236,3437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,ai-3j08r60stqdgc8dr,1c808c1819d5db0621b84666170f62287b9713cb411a55bc85803a3df954b93c,https://bleepingcomputer.com/news/security/hackers-target-exposed-vite-dev-servers-to-steal-aws-azure-secrets,ai,bleepingcomputer,publish,ok,,,2985,427,79,,1440,26,328289,145830,182412,7326,913,5929,427,3,True,16,chartable,2,label,139748,112646,3354,568,2008,summarize_and_plan,6082,69766,3972,345,3921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,ai-6etq2h0q563em876,33b57144172986ea20e6e06b2bb04f49493b2183c042933150f505f21c20934c,https://techpolicy.press/millions-of-volunteers-are-keeping-the-internet-human-for-now,ai,techpolicy-ai,publish,ok,,,8541,1380,143,,720,40,587385,255010,332310,9843,1607,7394,1380,3,True,7,chartable,2,label,248729,200360,4405,982,2008,summarize_and_plan,6281,131950,5438,625,5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,energy-mbhw0878ds5sgjap,a2e3c020e86e4b98495674974518096fff2513fa002d41d29ebb9dbb7162b480,https://electrek.co/2026/09/14/record-setting-performance-1000-mile-range-and-teslas-roadster,energy,electrek,publish,ok,,,1331,226,79,,157,34,186837,67402,119212,5663,625,5014,226,3,True,3,unclassified,2,label,61006,77297,2601,406,2008,summarize_and_plan,6396,41915,3062,219,3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,business-economy-576464r9tm9ajzwk,29cc431309d512a97f931a427db5aea7fc0427035666ced1198ef9c17481fbce,https://bazaar.businesstoday.in/business-news/story/amazon-bazaar-growth-surges-five-times-as-ecommerce-giant-expands-value-commerce-strategy-across-india-and-global-markets-1450897-2026-09-15,business-economy,business-today-in,publish,ok,not_prose,,3773,731,134,,202,57,1527169,239276,1287261,9619,5800,7324,731,3,True,21,chartable,2,label,232710,219642,4252,1065,2008,summarize_and_plan,6566,1067619,5367,4735,5316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,business-economy-evyqyn83t7g4kq4f,76fd7f5503d1e049dc8f1e2f0f72accb07a582c4d3fe9464affa2ccb2273fb6c,https://bbc.co.uk/news/articles/cqgk5e2j0gg8o?at_campaign=rss&at_medium=RSS,business-economy,bbc-business,publish,ok,,,5093,863,118,,620,61,446892,171821,274760,8371,1366,6719,863,3,True,7,unclassified,2,label,164945,223027,3603,1109,2008,summarize_and_plan,6876,51733,4768,257,4711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,business-economy-s0y2jnq52s26b85t,c83c2956e5164465a0bac54782ad83f31690c3a2ac924e61241d9328723a8b0a,https://nber.org/papers/w35646,business-economy,nber-new,publish,ok,,,1002,132,43,,943,27,150670,54704,95932,5403,507,4877,132,3,True,3,unclassified,2,label,48319,73986,2478,392,2008,summarize_and_plan,6385,21946,2925,115,2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,business-economy-yvjjv7tbx9k8ec14,f6e52d9f4bea66873024b31f4e7f81bad7cbdd2d3814f7759886cf12aac1bda4,https://bbc.co.uk/news/articles/c2l8v7l0djqo?at_campaign=rss&at_medium=RSS,business-economy,bbc-business,publish,ok,,,2599,435,77,,23,56,623836,153275,470507,8502,2163,7031,435,3,True,19,chartable,2,label,146737,350299,3428,1596,2008,summarize_and_plan,6538,120208,5074,567,5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
