version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,job,span_integrity,elements_found,element_class,model_calls,label_kind,label_prefill_ms,label_decode_ms,label_input_tokens,label_output_tokens,label_cached_tokens,summary_kind,summary_prefill_ms,summary_decode_ms,summary_input_tokens,summary_output_tokens,summary_cached_tokens,truncation_cap_tokens,selection_score,authority_score,tier_score,feed_weight,feed_reliability,lens_bonus,recency_bonus,carriage_step,watchlist_bonus,carried_by,watchlist_hit,on_front_page,tier,source_form,published_at,time_source,item_started_at,item_ended_at,item_index,shard_item_count,queue_wait_ms,fetch_connect_ms,fetch_ttfb_ms,robots_ms,retry_count,retry_total_ms,label_ms,summary_ms,visual_plan_ms,visual_plan_ms_is_estimate,faithfulness_ms,model_wait_ms,item_total_ms,stage_gap_ms,visual_plan_tokens_written,label_cache_pct,summary_cache_pct,slot_id,kv_tokens_at_start,prefix_shared_with_previous,label_prefill_tokens_per_s,label_decode_tokens_per_s,summary_prefill_tokens_per_s,summary_decode_tokens_per_s,label_finish_reason,summary_finish_reason,recovered,cpu_model,cpu_busy_pct,cpu_busy_max,cpu_busy_min,cpu_steal_pct,load_1m,llama_rss_bytes,llama_rss_anon_bytes,llama_rss_peak_bytes,llama_major_faults,python_rss_bytes,python_rss_anon_bytes,model_id,model_quantisation,n_ctx_configured,n_parallel,n_threads,n_batch,weights_pinned,max_output_tokens,label_budget_tokens,summary_budget_tokens,run_visual_decision,temperature,failed_field,failed_rule,os_mem_available_bytes,os_mem_total_bytes,os_mem_cached_bytes,os_swap_free_bytes,os_swap_total_bytes,os_mem_available_min_bytes
2026-09-20T18:00,2026-09-21,2026-09-21-35575635445,ai-xfdcztrrs5p2hs15,ebdacfeb18c96c28e4254e1fa742a6893fce364ee1bf2c9d668fb9448a640c34,https://straitstimes.com/opinion/how-the-fed-rate-hike-could-weigh-on-singapore,ai,straitstimes-opinion,extract,failed,paywalled,,0,0,,publisher declared a paywall,811,0,,,,,,,,0,work,,,,,,,,,,,,,,,,,,2.034311,1.0,1.0,1.0,1.0,0.0,0.5343105672383061,0.0,0.5,1,True,False,1,article,2026-09-21T05:00:00Z,feed,2026-09-21T08:05:37Z,2026-09-21T08:05:37Z,0,20,,37,409,302,0,0,,,,,,,812,1,,,,,,,,,,,,,,AMD EPYC 7763 64-Core Processor,,,,,,,,,,,,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,,0.2,,,,,,,,
2026-09-20T18:00,2026-09-21,2026-09-21-35575635445,ai-ccnay3g1qrrrpb8a,632aaf0e01be318b2d0a36f5e8a879a11fb3e2c4bb696ec732f735d2c868868f,https://straitstimes.com/opinion/iphone-duo-twice-the-fun-or-double-trouble,ai,straitstimes-opinion,extract,failed,paywalled,,0,0,,publisher declared a paywall,1296,0,,,,,,,,1,work,,,,,,,,,,,,,,,,,,1.958035,1.0,1.0,1.0,1.0,0.0,0.45803451873985007,0.0,0.5,1,True,False,1,article,2026-09-21T01:00:00Z,feed,2026-09-21T08:06:13Z,2026-09-21T08:06:14Z,0,20,,125,472,551,0,0,,,,,,,1298,2,,,,,,,,,,,,,,INTEL(R) XEON(R) PLATINUM 8573C,,,,,,,,,,,,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,,0.2,,,,,,,,
2026-09-20T18:00,2026-09-21,2026-09-21-35575635445,ai-6tv3dewhyn89025k,36b636bb91f5509008b369dcf35bc4baba711d88196ddd58c0f2d651d39c0e2e,https://theguardian.com/technology/2026/sep/21/nvidia-boss-jensen-huang-dismisses-warnings-ai-destroys-world-anthropic,ai,guardian-ai,publish,ok,,,2217,363,70,,442,84,399342,86655,312563,6965,1192,3966,363,2,work,True,3,unclassified,2,label,83918,267925,2943,1024,0,summarize_and_plan,2737,44638,4022,168,3966,,1.681574,0.6,0.6,1.0,1.0,0.0,0.581573890161039,0.0,0.5,1,True,False,2,article,2026-09-21T07:12:04Z,feed,2026-09-21T08:06:14Z,2026-09-21T08:13:16Z,0,20,20602,57,151,184,0,0,351942,47382,,,1043,124,400916,5,,0.0,98.61,0,3966,False,35.07,3.82,20.46,3.76,stop,stop,False,Intel(R) Xeon(R) 6973P-C,99.03,99.97,96.19,0.0,5.27,11922341888,7074054144,11982303232,1,1329745920,581332992,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,7996116992,16765378560,7446048768,3221196800,3221221376,7996116992
2026-09-20T18:00,2026-09-21,2026-09-21-35575635445,ai-jfg1p0n9y68zpgfc,93e01b02a9f191fb41ec18e7d78d45a864c5ff40f061f607f28de8cbfa4c7b82,https://straitstimes.com/business/sbf-launches-tool-to-help-firms-assess-future-readiness-address-capability-gaps,ai,straitstimes-business,publish,ok,,,4950,756,108,,1526,46,892035,413200,478713,9268,2270,5840,756,3,work,True,14,chartable,2,label,210441,326752,3826,1564,2018,summarize_and_plan,202759,151961,5442,706,3822,,1.593997,1.0,1.0,1.0,1.0,0.0,0.5939972812973767,0.0,0.0,1,False,False,1,article,2026-09-21T07:45:00Z,feed,2026-09-21T08:05:51Z,2026-09-21T10:17:09Z,0,20,6982092,173,539,729,0,0,537271,354735,69954,True,2534,122,896149,8,325,52.74,70.23,0,5389,True,8.59,4.79,7.99,4.65,stop,stop,False,AMD EPYC 7763 64-Core Processor,98.61,99.99,96.7,0.0,5.15,13146247168,7554326528,13239533568,0,1349550080,592519168,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,value_error,7433261056,16766414848,7004921856,3221168128,3221221376,7433261056
2026-09-20T18:00,2026-09-21,2026-09-21-35575635445,ai-vhsc76earm70hgqt,dc72c399cac50e08c2fa0df20a016443d3880b3e563e5d2f5b2e549584f9ec01,https://straitstimes.com/business/us-coffee-chain-starbucks-plans-global-tech-centre-in-india,ai,straitstimes-business,publish,ok,,,951,150,60,,527,33,384223,282383,101780,5666,557,3015,150,0,work,True,3,unclassified,2,label,275835,76641,2595,421,0,summarize_and_plan,6548,25139,3071,136,3015,,1.592855,1.0,1.0,1.0,1.0,0.0,0.592854694010878,0.0,0.0,1,False,False,1,article,2026-09-21T07:42:00Z,feed,2026-09-21T08:05:37Z,2026-09-21T08:12:17Z,1,20,14678,62,422,0,0,0,352510,31695,,,383,60,385173,7,,0.0,98.18,0,3015,False,9.41,5.49,8.55,5.41,stop,stop,False,AMD EPYC 7763 64-Core Processor,98.01,99.86,96.87,0.0,5.34,10426245120,4739375104,10426245120,0,1336639488,574160896,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,10365673472,16766414848,9970089984,3221127168,3221221376,10365673472
2026-09-20T18:00,2026-09-21,2026-09-21-35575635445,ai-ssdwt0xtgz91jya1,ce5bcd03ba87d2197941ff36c95a958d73a542b210010f42074814b7e454089a,https://techcrunch.com/2026/09/20/scrolled-wants-to-turn-textbooks-into-tiktok,ai,techcrunch-ai,publish,ok,,,3113,507,66,,516,376,342578,97083,245371,7043,894,3856,507,1,work,True,3,unclassified,2,label,94349,198981,3131,726,0,summarize_and_plan,2734,46390,3912,168,3856,,1.449809,0.6,0.6,1.0,1.0,0.0,0.34980900754741423,0.0,0.5,1,True,False,2,article,2026-09-20T18:00:00Z,feed,2026-09-21T08:06:14Z,2026-09-21T08:12:20Z,1,20,21704,68,341,61,0,0,293431,49132,,,874,124,344350,6,,0.0,98.57,0,3856,False,33.19,3.65,20.48,3.62,stop,stop,False,INTEL(R) XEON(R) PLATINUM 8573C,99.03,99.97,97.08,0.0,5.65,12034641920,7185567744,12035170304,1,1435607040,677527552,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,7796015104,16765378560,7448264704,3221180416,3221221376,7796015104
2026-09-20T18:00,2026-09-21,2026-09-21-35575635445,ai-91wwxd4v2z3h495p,4879ceb49b17c71224b6b7ed0d8bf57075ce8940bc1674428fb87a87ffcc3dbb,https://marktechpost.com/2026/09/20/you-too-google-google-confirms-gemini-breached-3-companies-in-ai-security-tests,ai,marktechpost,extract,failed,no_text,,0,0,,extractor found no article text,434,885,,,,,,,,2,work,,,,,,,,,,,,,,,,,,1.282925,0.39999999999999997,0.6,1.0,0.6666666666666666,0.0,0.38292484439596125,0.0,0.5,1,True,False,2,article,2026-09-20T20:20:56Z,feed,2026-09-21T08:06:15Z,2026-09-21T08:06:16Z,1,20,,32,72,328,0,0,,,,,,,1321,2,,,,,,,,,,,,,,Intel(R) Xeon(R) 6973P-C,,,,,,,,,,,,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,,0.2,,,,,,,,
2026-09-20T18:00,2026-09-21,2026-09-21-35575635445,energy-tj05sdg660dewvwe,d4805cb606301aee6f8ef6a802e9840a3ffd342c78feaa8548de98adc34fef65,https://grist.org/food-and-agriculture/has-the-farm-bill-hit-a-dead-end,energy,grist,publish,ok,,,4835,799,138,,438,39,386127,185160,200782,7916,1020,6319,799,3,work,True,5,unclassified,2,label,178045,144986,3558,744,2018,summarize_and_plan,7115,55796,4358,276,4301,,1.199743,0.6,0.6,1.0,1.0,0.0,0.5997433337356519,0.0,0.0,1,False,False,2,article,2026-09-21T08:00:00Z,feed,2026-09-21T08:05:53Z,2026-09-21T10:23:38Z,1,20,7876190,80,63,254,0,0,323181,62923,,,2482,185,389095,9,,56.72,98.69,0,4301,True,8.65,5.13,8.01,4.95,stop,stop,False,AMD EPYC 7763 64-Core Processor,98.29,99.99,96.16,0.0,4.63,13186334720,7500832768,13603393536,1255,1350557696,593518592,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,7581995008,16766414848,7031164928,3155619840,3221221376,7128530944
2026-09-20T18:00,2026-09-21,2026-09-21-35575635445,energy-cg9f1tenms9hhzs3,6412f0e9d5a65318ff23f3730ae66f7bd85353409e4a74c7c3ed6dae72c5df13,https://modernpowersystems.com/news/hithium-unveils-4-mwh-sodium-ion-battery-storage-system,energy,modern-power,publish,ok,,,2328,326,86,,2553,33,469690,135345,334295,7735,1632,6549,326,0,work,True,13,chartable,2,label,128727,260555,3214,1257,2079,summarize_and_plan,6618,73740,4521,375,4470,,1.199743,0.6,0.6,1.0,1.0,0.0,0.5997433337356519,0.0,0.0,1,False,False,2,article,2026-09-21T08:00:00Z,feed,2026-09-21T08:05:38Z,2026-09-21T08:20:08Z,2,20,396704,135,2277,121,0,0,389292,80370,23204,True,854,50,473140,10,118,64.69,98.87,0,4470,True,8.82,4.82,7.71,5.09,stop,stop,False,AMD EPYC 7763 64-Core Processor,99.13,99.99,97.2,0.0,4.92,10483245056,4796375040,10483245056,0,1334378496,571658240,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,value_error,10323472384,16766414848,9972588544,3221127168,3221221376,10302599168
2026-09-20T18:00,2026-09-21,2026-09-21-35575635445,energy-jvw5cc18t6w2kjdf,96f8563028d1b829c9af4d962f87a1759712ed1c5ebbf41445aafb379e514869,https://pv-magazine.com/2026/09/21/solar-powered-aeroponic-system-for-off-grid-vertical-farming,energy,pv-magazine,publish,ok,,,3701,515,65,,1648,41,483251,119566,363595,7841,1297,4080,515,1,work,True,19,chartable,2,label,116701,102876,3710,371,0,summarize_and_plan,2865,260719,4131,926,4080,,1.197374,0.6,0.6,1.0,1.0,0.0,0.59737436968642,0.0,0.0,1,False,False,2,article,2026-09-21T07:53:50Z,feed,2026-09-21T08:06:15Z,2026-09-21T08:20:25Z,2,20,363472,173,569,719,0,0,219586,263595,159923,True,928,90,485875,7,568,0.0,98.77,0,4080,False,31.79,3.61,17.8,3.55,stop,stop,False,INTEL(R) XEON(R) PLATINUM 8573C,99.15,99.98,97.42,0.0,5.63,11983720448,7136661504,12035301376,0,1430515712,672194560,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,value_error,7827267584,16765378560,7445012480,3221184512,3221221376,7795904512
