version,date,run_id,vertical,url_key,taken,lens_id,lens_bonus,lens_multiplier,score_committed,score_counterfactual
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,2901582b259cefa932e93f43f55429cf7afba07151cf1fc5979ac82c27a84506,True,,0.0,1.25,2.034482,2.034482
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,ff082bc32dcf39bfd27812edc1e6795d89a33c6620e4fac168c5a51bfe3c1f63,True,,0.0,1.25,1.866,1.866
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,75ebfc4f40c5e28ba3dfdf08c6c5bd1b6a2f89ebc64c2f334ce4631d8aad3af3,True,,0.0,1.25,1.834388,1.834388
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,e52b0024cc5c06e8b375973d3ccf4f7373d2b3f23d79409521a300ede19c6f34,True,,0.0,1.25,1.813926,1.813926
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,a8b35c3f4a14b2da3673a67ea311d5c4930c89257ad47f3a353e9c8b692b802d,True,,0.0,1.25,1.790495,1.790495
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,ca04a6a0744edf78d0fd6d271c89dfa565aa27f914264602f9e166aaa24bd64c,True,,0.0,1.25,1.580989,1.580989
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,98149406003ca4b82943bb0300b8e9862bb6fab62e6a1b4451c37f5e02bcb694,True,,0.0,1.25,1.580989,1.580989
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,f75d937f3d43cc3f5df3a65d80b998afcee58f398f9b6b67f4581cee46eea91a,False,,0.0,1.25,1.580989,1.580989
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,98df03ca10b54f98721919be730b3c30641e80ff28513561b7642d58e9c26144,True,,0.0,1.25,1.576414,1.576414
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,0f4e46ad8e104ffe73d23d8f9cf64fa7ccd15f5323cfb8ad49d90764be522478,True,,0.0,1.25,1.551174,1.551174
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,dd9a33516313945b2d4c99c3af5cd7d9a4168783d32ec073da24e262cc12d40b,False,,0.0,1.25,1.546273,1.546273
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,e9ef043a9a9bec8c30595a46134986b8865a838767a07fc43a4bdc035240838f,False,,0.0,1.25,1.537923,1.537923
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,c795c04a46d3eef67f48ba10605d0e349ee253a16cd437bf51f8bde7b9db5ea4,False,,0.0,1.25,1.51509,1.51509
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,6b8a14a96b3ca53c9a894e6ac20ae81e5cc660e5b9f4804200366f8573a55bc1,True,,0.0,1.25,1.508464,1.508464
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,97ae28f514a0ea6e398005208ee53a4df85888852316b768c4ce348b6a193ab8,True,,0.0,1.25,1.493354,1.493354
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,bcea37c159915d39d0bfd3f0de9cf3461510506958788f2d3c4ed39027af4ad2,False,,0.0,1.25,1.491322,1.491322
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,0137dba8762c61382f3d663bf374bfff2377dfdb5718e6e57d34884e00505972,True,,0.0,1.25,1.471117,1.471117
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,ebd93db5c0aad55d84c29cd52ad7b01aae7356188e95a28090f2e69b5b081388,True,,0.0,1.25,1.467144,1.467144
2026-09-14T11:00,2026-09-15,2026-09-15-34943695821,ai,7491ce1418937eedacfda644d7810f97eda882b2f49f20c4396a821a9168b9f6,True,,0.0,1.25,1.461615,1.461615
