version,date,run_id,item_id,url_key,source_url,title,vertical,model_id,attempt,hhem,hhem_full,hhem_delta,truncation_flagged,coverage,compression,extractiveness,verbatim_run,unsupported_numbers,hedge_dropped,extraction_suspect,band,source_word_count,source_seen_word_count,summary_word_count,pipeline_fingerprint,output_digest,determinism_violation,scorer_version,scored_at,score_ms,evidential_density,speculative_density,self_repetition,source_digest
2026-08-21T03:00,2026-08-22,2026-08-22-1,ai-03,013067c5e106ddd6b0b6ebc1825477b8824802afd8a6f41241ed8633d42d3345,https://databricks.com/blog/connecting-retail-demand-planning-campaign-and-store-execution,Connecting retail demand planning to campaign and store execution,ai,qwen3-8b-q4-k-m,1,0.9507991671562195,0.9507991671562195,0.0,False,0.0,0.08091603053435115,0.23300970873786409,0.11320754716981132,0,True,False,high,1310,1310,106,3090231ddecd1ea99f053ebdd59456210f800c6d246fa6632f157afb58321513,5bc7123056c76be72102ac7dd462c42acfd7a63b4caaf80d7fe0d2368db79758,False,hhem-2.1-open@6a30c896;weights-cffb0b41;metrics-1;bands=0.80/0.50,2026-08-22T12:08:39Z,0,,,,
2026-08-21T03:00,2026-08-22,2026-08-22-1,ai-04,6307133702148d12f92a36a036b378029259a4e5aeff9550aa6a53900051d4dc,https://research.google/blog/an-ai-tool-for-prioritizing-candidate-biomarkers-from-wearable-sensor-data,An AI tool for prioritizing candidate biomarkers from wearable sensor data,ai,qwen3-8b-q4-k-m,1,0.9578187465667725,0.9578187465667725,0.0,False,0.2,0.09165808444902163,0.10465116279069768,0.07865168539325842,0,False,False,high,982,982,89,3090231ddecd1ea99f053ebdd59456210f800c6d246fa6632f157afb58321513,b6c948a842e1c13c475e0d7ce07c7501f5e4c79e74a781aaa8fc2463db5b61ed,False,hhem-2.1-open@6a30c896;weights-cffb0b41;metrics-1;bands=0.80/0.50,2026-08-22T12:08:30Z,0,,,,
2026-08-21T03:00,2026-08-22,2026-08-22-1,ai-05,2cd10252971bf80886c5ac468aaee42a38c8f26dcc9edccffa11185498703a1c,https://developer.nvidia.com/blog/gpu-accelerated-clustering-for-financial-instruments-at-scale,GPU-Accelerated Clustering for Financial Instruments at Scale,ai,qwen3-8b-q4-k-m,1,0.9391248822212219,0.9391248822212219,0.0,False,0.5,0.059344091618948464,0.24324324324324326,0.08771929824561403,0,False,False,high,,1923,114,3090231ddecd1ea99f053ebdd59456210f800c6d246fa6632f157afb58321513,e75617c57cf2e104d9df40d0d2df77340d4c305d1d9c3bd11d4b9a7f835e83e4,False,hhem-2.1-open@6a30c896;weights-cffb0b41;metrics-1;bands=0.80/0.50,2026-08-22T12:09:06Z,0,,,,
2026-08-21T03:00,2026-08-22,2026-08-22-1,business-economy-03,a3e0a9595e98d220f80feccebf48f7c18f7a48fb2b79cb97ca59358026547e64,https://fortune.com/2026/08/22/ais-three-body-problem-no-single-force-can-dictate-the-outcome,AI’s Three-Body Problem: no single force can dictate the outcome,business-economy,qwen3-8b-q4-k-m,1,0.9599491953849792,0.9599491953849792,0.0,False,0.6666666666666666,0.14954486345903772,0.08928571428571429,0.06956521739130435,0,False,False,high,770,770,115,3090231ddecd1ea99f053ebdd59456210f800c6d246fa6632f157afb58321513,b756cde6f2385680c1a3298a381c91501e5282b6fa07324e969ce7bb9d96fb6a,False,hhem-2.1-open@6a30c896;weights-cffb0b41;metrics-1;bands=0.80/0.50,2026-08-22T12:11:12Z,0,,,,
2026-08-21T03:00,2026-08-22,2026-08-22-1,energy-03,eac4949c23fa1ddcf5a5c616793a7332ecdcc71f5b2051d0fa154e91bf916201,https://eia.gov/todayinenergy/detail.php?id=67984,Longer wells boost Permian crude oil and natural gas production,energy,qwen3-8b-q4-k-m,1,0.9385051727294922,0.9385051727294922,0.0,False,1.0,0.4391691394658754,0.19310344827586207,0.0945945945945946,0,False,False,high,332,332,148,3090231ddecd1ea99f053ebdd59456210f800c6d246fa6632f157afb58321513,7693c12425068e24cbe591b4e4f3434c16a661f043790b6e8e29c42fde4cb2ed,False,hhem-2.1-open@6a30c896;weights-cffb0b41;metrics-1;bands=0.80/0.50,2026-08-22T12:10:39Z,0,,,,
2026-08-21T03:00,2026-08-22,2026-08-22-1,india-01,18a55c1a39e83f90b651941e136779d2e23945d564dac300a16b9f1fa6fd9bbf,https://thehindu.com/news/national/kerala/pinarayi-vijayan-binoy-viswam-lock-horns-over-deputy-leader-of-the-opposition-post/article71377432.ece,"Pinarayi Vijayan, Binoy Viswam lock horns over Deputy Leader of the Opposition post",india,qwen3-8b-q4-k-m,1,0.9225377440452576,0.9225377440452576,0.0,False,0.8125,0.33544303797468356,0.28,0.10377358490566038,0,False,False,high,314,314,106,3090231ddecd1ea99f053ebdd59456210f800c6d246fa6632f157afb58321513,cd865171a1c4db3a76b243668a02bd9a4c1e463cc0d7f0a0bb5a0540a87aa081,False,hhem-2.1-open@6a30c896;weights-cffb0b41;metrics-1;bands=0.80/0.50,2026-08-22T12:12:40Z,0,,,,
2026-08-21T03:00,2026-08-22,2026-08-22-1,india-02,be64f980146d42f802867f47fc9f196d141bed9bbc478f9b6a0ea5280f1e8ee9,https://thehindu.com/sci-tech/health/government-restricts-fixed-dose-combinations-containing-2-chemical-compounds-for-young-children/article71376736.ece,"Government restricts FDCs with chlorpheniramine, phenylephrine for children below 4",india,qwen3-8b-q4-k-m,1,0.9744112491607666,0.9744112491607666,0.0,False,0.6666666666666666,0.2958579881656805,0.5773195876288659,0.24,0,False,False,high,338,338,100,3090231ddecd1ea99f053ebdd59456210f800c6d246fa6632f157afb58321513,6130afc894f01b7a3993220e2bd776acad5e63a793f36086a6472fad288051fe,False,hhem-2.1-open@6a30c896;weights-cffb0b41;metrics-1;bands=0.80/0.50,2026-08-22T12:13:50Z,0,,,,
2026-08-21T03:00,2026-08-22,2026-08-22-1,india-03,1c4ab0089704dcc8cae93cdbc5984ee1263d4289b0a9e349d9fa230c593aab14,https://timesofindia.indiatimes.com/india/bills-on-fast-track-over-half-of-18th-lok-sabha-bills-passed-in-same-session-shows-data/articleshow/133423110.cms,"Bills on fast track: Over half of 18th Lok Sabha bills passed in same session, shows data",india,qwen3-8b-q4-k-m,1,0.9784432649612427,0.9784432649612427,0.0,False,0.4117647058823529,0.2903225806451613,0.3218390804597701,0.1111111111111111,0,False,False,high,311,311,90,3090231ddecd1ea99f053ebdd59456210f800c6d246fa6632f157afb58321513,aeb9a32fb0a2b89d56116a4445fda39105746a51f20524e99ae447dacbb3208c,False,hhem-2.1-open@6a30c896;weights-cffb0b41;metrics-1;bands=0.80/0.50,2026-08-22T12:11:51Z,0,,,,
2026-08-21T03:00,2026-08-22,2026-08-22-1,world-01,219abf1350cc57fa54d4c0cb78e9df4349b99cb2b83c393a182f3c6620810d72,https://apnews.com/article/sweden-school-sword-attack-victim-girl-86147180fb6a98673c0190bc66302891,Victim of sword attack at a Swedish school was a 17-year-old girl,world,qwen3-8b-q4-k-m,1,0.9482932686805725,0.9482932686805725,0.0,False,0.75,0.27611940298507465,0.17592592592592593,0.07207207207207207,0,False,False,high,398,398,111,3090231ddecd1ea99f053ebdd59456210f800c6d246fa6632f157afb58321513,cdc2b0303787b9722af753e6e34c51abf810ca94797b7a203c479ed18d5056a1,False,hhem-2.1-open@6a30c896;weights-cffb0b41;metrics-1;bands=0.80/0.50,2026-08-22T12:12:23Z,0,,,,
2026-08-21T03:00,2026-08-22,2026-08-22-1,world-02,2c9a3b7629a2fafc7781a468c9abc2934204c3e82e207d5170a4ef22400c1191,https://channelnewsasia.com/sport/concacaf-chief-asks-infantino-skip-youth-tournament-amid-fifa-governance-crisis-6334881,CONCACAF chief asks Infantino to skip youth tournament amid FIFA governance crisis,world,qwen3-8b-q4-k-m,1,0.9553743600845337,0.9553743600845337,0.0,False,0.5,0.3042168674698795,0.12244897959183673,0.07920792079207921,0,False,False,high,333,333,101,3090231ddecd1ea99f053ebdd59456210f800c6d246fa6632f157afb58321513,50f53f81950522489bef690f45e763ec55f836b81a8c69d852f48265ab1d9865,False,hhem-2.1-open@6a30c896;weights-cffb0b41;metrics-1;bands=0.80/0.50,2026-08-22T12:10:32Z,0,,,,
